
"Population estimates - small area based by single year of age - England and Wales"
"ONS Crown Copyright Reserved [from Nomis on 24 September 2019]"
"Date       :","2017"
"Gender     :","Total"

"2011 output area","mnemonic","All Ages","Aged 0 to 15","Aged 16 to 64","Aged 65+"
"E00140917","E00140917",293,43,165,85
"E00140918","E00140918",289,58,174,57
"E00140919","E00140919",316,27,141,148
"E00140920","E00140920",314,62,174,78
"E00140921","E00140921",279,45,179,55
"E00140922","E00140922",287,30,160,97
"E00140923","E00140923",563,56,274,233
"E00140924","E00140924",282,29,154,99
"E00140925","E00140925",321,48,234,39
"E00140926","E00140926",314,41,189,84
"E00140927","E00140927",324,49,207,68
"E00140928","E00140928",329,64,186,79
"E00140929","E00140929",311,27,135,149
"E00140930","E00140930",287,54,161,72
"E00140931","E00140931",310,55,172,83
"E00140932","E00140932",297,65,157,75
"E00140933","E00140933",292,43,130,119
"E00140934","E00140934",316,59,227,30
"E00140935","E00140935",279,48,157,74
"E00140936","E00140936",328,32,161,135
"E00140937","E00140937",291,60,191,40
"E00140938","E00140938",266,38,140,88
"E00140939","E00140939",383,88,240,55
"E00140940","E00140940",240,24,123,93
"E00140941","E00140941",264,31,133,100
"E00140942","E00140942",369,101,225,43
"E00140943","E00140943",229,25,107,97
"E00140944","E00140944",383,85,244,54
"E00140945","E00140945",402,98,245,59
"E00140946","E00140946",158,17,82,59
"E00140947","E00140947",372,72,207,93
"E00140948","E00140948",290,45,170,75
"E00140949","E00140949",360,96,211,53
"E00140950","E00140950",345,68,211,66
"E00140951","E00140951",266,69,153,44
"E00140953","E00140953",223,19,129,75
"E00140954","E00140954",204,17,116,71
"E00140955","E00140955",261,29,164,68
"E00140956","E00140956",329,66,209,54
"E00140957","E00140957",255,50,191,14
"E00140958","E00140958",286,32,230,24
"E00140959","E00140959",234,17,109,108
"E00140960","E00140960",348,30,304,14
"E00140961","E00140961",264,14,175,75
"E00140962","E00140962",303,56,224,23
"E00140963","E00140963",240,33,182,25
"E00140964","E00140964",351,27,289,35
"E00140965","E00140965",340,72,238,30
"E00140966","E00140966",272,32,191,49
"E00140967","E00140967",288,50,176,62
"E00140968","E00140968",273,39,167,67
"E00140969","E00140969",285,27,132,126
"E00140970","E00140970",407,36,224,147
"E00140971","E00140971",242,19,158,65
"E00140972","E00140972",233,20,161,52
"E00140973","E00140973",302,40,221,41
"E00140974","E00140974",287,39,232,16
"E00140975","E00140975",311,46,252,13
"E00140976","E00140976",450,90,277,83
"E00140977","E00140977",402,60,229,113
"E00140978","E00140978",222,37,130,55
"E00140979","E00140979",280,29,187,64
"E00140980","E00140980",236,41,141,54
"E00140981","E00140981",253,44,123,86
"E00140982","E00140982",353,65,207,81
"E00140983","E00140983",545,80,335,130
"E00140984","E00140984",242,29,150,63
"E00140985","E00140985",252,45,146,61
"E00140986","E00140986",452,74,274,104
"E00140987","E00140987",327,83,195,49
"E00140988","E00140988",294,46,173,75
"E00140989","E00140989",293,49,187,57
"E00140990","E00140990",276,63,172,41
"E00140991","E00140991",262,54,150,58
"E00140992","E00140992",314,45,198,71
"E00140993","E00140993",157,24,93,40
"E00140994","E00140994",282,51,184,47
"E00140995","E00140995",187,35,105,47
"E00140996","E00140996",200,42,102,56
"E00140997","E00140997",265,48,162,55
"E00140998","E00140998",238,49,143,46
"E00140999","E00140999",241,32,150,59
"E00141000","E00141000",172,18,65,89
"E00141001","E00141001",220,28,99,93
"E00141002","E00141002",289,49,169,71
"E00141003","E00141003",250,27,139,84
"E00141004","E00141004",231,32,132,67
"E00141005","E00141005",189,41,113,35
"E00141006","E00141006",246,42,141,63
"E00141007","E00141007",102,17,69,16
"E00141008","E00141008",388,67,187,134
"E00141009","E00141009",416,51,253,112
"E00141010","E00141010",266,38,158,70
"E00141011","E00141011",143,20,88,35
"E00141012","E00141012",209,33,125,51
"E00141013","E00141013",164,31,102,31
"E00141014","E00141014",250,39,99,112
"E00141015","E00141015",345,59,156,130
"E00141016","E00141016",220,22,117,81
"E00141017","E00141017",361,71,207,83
